Adsorbent,BETSI,LEAN 4
Al fumarate,1007.371,1007.371
DMOF-1,1924.231,1924.231
EXP-ZIF,1710.873,1710.873
HKUST-1,1556.379,1556.379
MCM-41,1000.828,1000.828
Mg-MOF-74,1010.453,1010.453
MIL-100,2199.636,2199.636
MIL-101,2447.022,2447.022
MOF-5,3255.397,3255.397
Nu-1000,2068.039,2068.039
Nu-1102,4931.08,4931.08
Nu-1104,5683.965,5683.965
Nu-1105,3635.056,3635.056
PCN-777,2078.402,2078.402
TPB-DMTP,2874.658,2874.658
UiO-66-NH2,1424.805,1424.805
UiO-66,1144.426,1144.789
Zeolite-13X,832.842,832.842
ZIF-8,1709.039,1709.039
